Clinton EV: 238.3	Clinton Wins: 0.0%
Trump EV: 299.7		Trump Wins: 100.0%
Other EV: 0.0		Other Wins: 0.0%
Tie: 0.0%
Deadlock: 0.0%

State               |Region    |Abb|EV|% Rep |C Avg |T Avg |O Avg |C Prob|T Prob|O Prob
South Carolina      |Southeast |SC |9 |88.0 %|40.2  |54.8  |4.5   |0.0  %|100.0%|0.0  %
South Dakota        |Midwest   |SD |3 |64.0 %|32.6  |58.4  |7.6   |0.0  %|100.0%|0.0  %
Tennessee           |Southeast |TN |11|99.0 %|34.9  |61.1  |4.0   |0.0  %|100.0%|0.0  %
Texas               |Southwest |TX |38|89.0 %|43.7  |51.9  |4.2   |0.0  %|100.0%|0.0  %
Utah                |Far West  |UT |6 |68.0 %|28.7  |42.8  |28.4  |0.0  %|100.0%|0.0  %
Vermont             |Northeast |VT |3 |83.0 %|60.9  |32.5  |6.3   |100.0%|0.0  %|0.0  %
Virginia            |Southeast |VA |13|92.0 %|49.0  |45.4  |5.3   |100.0%|0.0  %|0.0  %
Washington          |West Coast|WA |12|59.0 %|55.1  |38.5  |6.3   |100.0%|0.0  %|0.0  %
West Virginia       |Southeast |WV |5 |88.0 %|27.5  |66.9  |5.1   |0.0  %|100.0%|0.0  %
Wisconsin           |Midwest   |WI |10|95.0 %|47.0  |48.6  |4.3   |0.1  %|99.9 %|0.0  %
Wyoming             |Far West  |WY |3 |93.0 %|23.2  |68.9  |7.8   |0.0  %|100.0%|0.0  %
